X.SampleID	elevation	AGE	Temperature	Precipitation3Days	INBREDS	Maize_Line
11116.A30C085.1197726	125.86	9	71.2	0.03	B73	Stiff_Stalk
11116.L11A104.1197701	260.1	15	74.5	0.01	NC350	Tropical
11116.I04A071.1196314	120.16	4	64.8	0.4	Oh43	Non_Stiff_Stalk
11116.I24A104.1197865	120.16	15	74.5	0.01	Tx303	Mixed
11116.I12A068.1197045	120.16	3	54.5	0.91	B73	Stiff_Stalk
11116.A08B097.1197089	125.86	13	68.3	0.07	Il14H	Sweet_Corn
11116.A05D070.1193898	125.86	4	64.8	0.4	Mo18W	Mixed
11116.I13A093.1193625	120.16	11	76.2	0.21	Mo18W	Mixed
11116.L13A104.1197936	260.1	15	74.5	0.01	B97	Non_Stiff_Stalk
11116.L30A066.1195554	260.1	2	69.2	0.47	CML247	Tropical
11116.I06A088.1193829	120.16	10	69.5	0.12	Mo17	Non_Stiff_Stalk
11116.I15A093.1195246	120.16	11	76.2	0.21	Ki11	Tropical
11116.L29A088.1195382	260.1	10	69.5	0.12	Oh43	Non_Stiff_Stalk
11116.I31A098.1194107	120.16	13	68.3	0.07	Mo17	Non_Stiff_Stalk
11116.I11A074.1198274	120.16	5	67.7	0.07	NC350	Tropical
11116.A28A118.1196538	125.86	20	49.4	0.63	Mo17	Non_Stiff_Stalk
11116.L08A076.1198333	260.1	6	66.8	0.85	Il14H	Sweet_Corn
11116.L32A097.1196103	260.1	13	68.3	0.07	CML247	Tropical
11116.I07A118.1197752	120.16	20	49.4	0.63	CML52	Tropical
11116.I12A120.1195888	120.16	20	49.4	0.63	B73	Stiff_Stalk
11116.A22C082.1194985	125.86	8	73.2	0.09	Oh7B	Non_Stiff_Stalk
11116.I21A119.1194951	120.16	20	49.4	0.63	NC358	Tropical
11116.A03B082.1197011	125.86	8	73.2	0.09	Ki3	Tropical
11116.L10A084.1196769	260.1	8	73.2	0.09	CML277	Tropical
11116.I28A084.1197052	120.16	8	73.2	0.09	Mo17	Non_Stiff_Stalk
11116.I24A066.1196835	120.16	2	69.2	0.47	Tx303	Mixed
11116.L11A072.1198347	260.1	4	64.8	0.4	NC350	Tropical
11116.U469A63.1193885	222.59	12	76.0	0.14	Mo18W	Mixed
11116.A05C097.1198256	125.86	13	68.3	0.07	MS71	Non_Stiff_Stalk
11116.A07B091.1193796	125.86	11	76.2	0.21	CML52	Tropical
11116.I32A091.1195124	120.16	11	76.2	0.21	CML103	Tropical
11116.A25C082.1198046	125.86	8	73.2	0.09	P39	Sweet_Corn
11116.U519A63.1195852	222.59	12	76.0	0.14	Tx303	Mixed
11116.U445A61.1194113	222.59	12	76.0	0.14	Mo17	Non_Stiff_Stalk
11116.L11A079.1195454	260.1	7	80.0	0.0	NC350	Tropical
11116.L14A101.1196409	260.1	14	64.1	3.31	Tzi8	Tropical
11116.A27C100.1194038	125.86	14	64.1	3.31	B73	Stiff_Stalk
11116.L16A081.1195521	260.1	7	80.0	0.0	CML103	Tropical
11116.L24A091.1194429	260.1	11	76.2	0.21	CML228	Tropical
11116.L24A071.1198301	260.1	4	64.8	0.4	CML228	Tropical
11116.I15A080.1196359	120.16	7	80.0	0.0	Ki11	Tropical
11116.U453A62.1194704	222.59	12	76.0	0.14	M37W	Mixed
11116.I01A119.1196243	120.16	20	49.4	0.63	B73	Stiff_Stalk
11116.L14A069.1197457	260.1	3	54.5	0.91	Tzi8	Tropical
11116.L31A065.1194065	260.1	2	69.2	0.47	Ki11	Tropical
11116.L03A100.1198069	260.1	14	64.1	3.31	Ki3	Tropical
11116.C06A66.1197511	237.63	12	76.0	0.14	P39	Sweet_Corn
11116.A25D085.1195615	125.86	9	71.2	0.03	Ki11	Tropical
11116.L26A071.1193916	260.1	4	64.8	0.4	Tx303	Mixed
11116.L09A097.1198277	260.1	13	68.3	0.07	M162W	Non_Stiff_Stalk
11116.I15A095.1196706	120.16	12	76.0	0.14	Ki11	Tropical
11116.A23D076.1198032	125.86	6	66.8	0.85	B73	Stiff_Stalk
11116.L18A067.1197615	260.1	3	54.5	0.91	Hp301	Popcorn
11116.L19A089.1194423	260.1	10	69.5	0.12	CML69	Tropical
11116.A03D097.1197900	125.86	13	68.3	0.07	Ki3	Tropical
11116.A29B067.1196027	125.86	3	54.5	0.91	Oh43	Non_Stiff_Stalk
11116.A29A097.1198462	125.86	13	68.3	0.07	CML322	Tropical
11116.A26B100.1194303	125.86	14	64.1	3.31	Tx303	Mixed
11116.A18A094.1198340	125.86	12	76.0	0.14	Hp301	Popcorn
11116.L23A071.1196992	260.1	4	64.8	0.4	B73	Stiff_Stalk
11116.I16A089.1196999	120.16	10	69.5	0.12	CML247	Tropical
11116.A05D103.1195579	125.86	15	74.5	0.01	Mo18W	Mixed
11116.L27A067.1194603	260.1	3	54.5	0.91	CML333	Tropical
11116.A12B064.1195663	125.86	2	69.2	0.47	B73	Stiff_Stalk
11116.A15A073.1196300	125.86	5	67.7	0.07	Ki11	Tropical
11116.L25A085.1198198	260.1	9	71.2	0.03	Mo17	Non_Stiff_Stalk
11116.I06A119.1194304	120.16	20	49.4	0.63	Mo17	Non_Stiff_Stalk
11116.I14A090.1197716	120.16	10	69.5	0.12	M37W	Mixed
11116.A03A079.1196351	125.86	7	80.0	0.0	M162W	Non_Stiff_Stalk
11116.I10A067.1195667	120.16	3	54.5	0.91	M162W	Non_Stiff_Stalk
11116.A19D067.1196921	125.86	3	54.5	0.91	CML69	Tropical
