	X.SampleID	elevation	AGE	Temperature	Precipitation3Days	INBREDS	Maize_Line
0	11116.A25A070.1197213	0.48389081122645133	0.2	0.8099999999999999	0.12084592145015106	0.038461538461538464	0.2
1	11116.I11A118.1196696	0.4619761630142252	1.0	0.6174999999999999	0.1903323262839879	0.6153846153846154	0.4
2	11116.C06A66.1197511	0.9136101499423298	0.6	0.95	0.04229607250755287	0.038461538461538464	0.2
3	11116.U533A61.1195011	0.8557862360630526	0.6	0.95	0.04229607250755287	0.46153846153846156	0.4
4	11116.L19A094.1196106	1.0	0.6	0.95	0.04229607250755287	0.4230769230769231	0.4
5	11116.L14A082.1197190	1.0	0.4	0.915	0.027190332326283987	0.5384615384615384	0.4
6	11116.U495A63.1196777	0.8557862360630526	0.6	0.95	0.04229607250755287	0.34615384615384615	0.0
7	11116.L22A101.1197459	1.0	0.7	0.8012499999999999	1.0	0.5	0.4
8	11116.U453A62.1194704	0.8557862360630526	0.6	0.95	0.04229607250755287	0.3076923076923077	0.6
9	11116.A08C070.1196536	0.48389081122645133	0.2	0.8099999999999999	0.12084592145015106	0.8076923076923077	0.4
10	11116.L13A073.1195640	1.0	0.25	0.8462500000000001	0.021148036253776436	0.6923076923076923	0.0
11	11116.I21A119.1194951	0.4619761630142252	1.0	0.6174999999999999	0.1903323262839879	0.9230769230769231	0.4
12	11116.L11A072.1198347	1.0	0.2	0.8099999999999999	0.12084592145015106	0.6153846153846154	0.4
13	11116.L24A091.1194429	1.0	0.55	0.9525	0.0634441087613293	0.46153846153846156	0.4
14	11116.C24A66.1193605	0.9136101499423298	0.6	0.95	0.04229607250755287	0.19230769230769232	0.0
15	11116.A27B082.1195286	0.48389081122645133	0.4	0.915	0.027190332326283987	0.07692307692307693	0.4
16	11116.I26A093.1197054	0.4619761630142252	0.55	0.9525	0.0634441087613293	0.07692307692307693	0.4
17	11116.A21A073.1196739	0.48389081122645133	0.25	0.8462500000000001	0.021148036253776436	0.9615384615384616	0.6
18	11116.L19A077.1194622	1.0	0.3	0.835	0.25679758308157097	0.4230769230769231	0.4
19	11116.L28A067.1197409	1.0	0.15	0.68125	0.27492447129909364	0.34615384615384615	0.0
20	11116.I04A071.1196314	0.4619761630142252	0.2	0.8099999999999999	0.12084592145015106	0.19230769230769232	0.0
21	11116.I02A120.1195651	0.4619761630142252	1.0	0.6174999999999999	0.1903323262839879	0.7307692307692307	0.4
22	11116.A05C064.1198397	0.48389081122645133	0.1	0.865	0.14199395770392748	0.15384615384615385	0.0
23	11116.L32A076.1196174	1.0	0.3	0.835	0.25679758308157097	0.3076923076923077	0.6
24	11116.U513A62.1197593	0.8557862360630526	0.6	0.95	0.04229607250755287	0.0	0.0
25	11116.A03A079.1196351	0.48389081122645133	0.35	1.0	0.0	0.8461538461538461	0.0
26	11116.A06B070.1198022	0.48389081122645133	0.2	0.8099999999999999	0.12084592145015106	0.34615384615384615	0.0
27	11116.L05A067.1196188	1.0	0.15	0.68125	0.27492447129909364	0.2692307692307692	0.6
28	11116.I03A076.1195434	0.4619761630142252	0.3	0.835	0.25679758308157097	0.7692307692307693	0.0
29	11116.L18A067.1197615	1.0	0.15	0.68125	0.27492447129909364	0.8846153846153846	1.0
30	11116.L13A088.1194159	1.0	0.5	0.86875	0.036253776435045314	0.6923076923076923	0.0
31	11116.L19A072.1196261	1.0	0.2	0.8099999999999999	0.12084592145015106	0.4230769230769231	0.4
32	11116.I08A081.1197521	0.4619761630142252	0.35	1.0	0.0	0.8076923076923077	0.4
