X.SampleID	elevation	AGE	Temperature	Precipitation3Days	INBREDS	Maize_Line
11116.I22A105.1197160	120.16	15	74.5	0.01	Oh7B	Non_Stiff_Stalk
11116.L31A077.1195601	260.1	6	66.8	0.85	Ki11	Tropical
11116.I20A099.1197508	120.16	13	68.3	0.07	Hp301	Popcorn
11116.I21A074.1195716	120.16	5	67.7	0.07	NC358	Tropical
11116.A22C088.1195279	125.86	10	69.5	0.12	Oh7B	Non_Stiff_Stalk
11116.A27B076.1194341	125.86	6	66.8	0.85	CML333	Tropical
11116.A26A064.1198133	125.86	2	69.2	0.47	CML333	Tropical
11116.L03A079.1197750	260.1	7	80.0	0.0	Ki3	Tropical
11116.I10A085.1197118	120.16	9	71.2	0.03	M162W	Non_Stiff_Stalk
11116.I32A118.1193922	120.16	20	49.4	0.63	CML103	Tropical
11116.U443A61.1194453	222.59	12	76.0	0.14	CML103	Tropical
11116.A14D079.1198268	125.86	7	80.0	0.0	Tzi8	Tropical
11116.A20A082.1197310	125.86	8	73.2	0.09	Hp301	Popcorn
11116.I26A097.1197987	120.16	13	68.3	0.07	CML333	Tropical
11116.L28A067.1197409	260.1	3	54.5	0.91	Mo17	Non_Stiff_Stalk
11116.L03A065.1193914	260.1	2	69.2	0.47	Ki3	Tropical
11116.A16A067.1194201	125.86	3	54.5	0.91	CML247	Tropical
11116.I08A120.1194488	120.16	20	49.4	0.63	CML277	Tropical
11116.I08A081.1197521	120.16	7	80.0	0.0	CML277	Tropical
11116.I21A077.1194016	120.16	6	66.8	0.85	NC358	Tropical
11116.A15C103.1197053	125.86	15	74.5	0.01	Ki11	Tropical
11116.L09A091.1197835	260.1	11	76.2	0.21	M162W	Non_Stiff_Stalk
11116.L14A071.1198467	260.1	4	64.8	0.4	Tzi8	Tropical
11116.L02A104.1194752	260.1	15	74.5	0.01	Ky21	Non_Stiff_Stalk
11116.C24A66.1193605	237.63	12	76.0	0.14	Oh43	Non_Stiff_Stalk
11116.A23A091.1194129	125.86	11	76.2	0.21	B73	Stiff_Stalk
11116.A23B070.1197945	125.86	4	64.8	0.4	B73	Stiff_Stalk
11116.I23A068.1196368	120.16	3	54.5	0.91	B73	Stiff_Stalk
11116.I10A118.1196783	120.16	20	49.4	0.63	M162W	Non_Stiff_Stalk
11116.I30A085.1197727	120.16	9	71.2	0.03	Tzi8	Tropical
11116.A07B088.1194377	125.86	10	69.5	0.12	CML52	Tropical
11116.L12A073.1198323	260.1	5	67.7	0.07	B73	Stiff_Stalk
11116.A11C064.1194809	125.86	2	69.2	0.47	NC350	Tropical
11116.L24A085.1195747	260.1	9	71.2	0.03	Ki3	Tropical
11116.A33B076.1195540	125.86	6	66.8	0.85	B73	Stiff_Stalk
11116.I25A101.1195039	120.16	14	64.1	3.31	P39	Sweet_Corn
11116.I23A086.1197611	120.16	9	71.2	0.03	B73	Stiff_Stalk
11116.A09D070.1194025	125.86	4	64.8	0.4	M162W	Non_Stiff_Stalk
11116.A08B067.1197781	125.86	3	54.5	0.91	Il14H	Sweet_Corn
11116.I21A091.1197157	120.16	11	76.2	0.21	NC358	Tropical
11116.L19A077.1194622	260.1	6	66.8	0.85	CML69	Tropical
11116.I21A067.1194676	120.16	3	54.5	0.91	NC358	Tropical
11116.I12A094.1194780	120.16	12	76.0	0.14	B73	Stiff_Stalk
11116.A25A070.1197213	125.86	4	64.8	0.4	P39	Sweet_Corn
11116.L02A100.1198181	260.1	14	64.1	3.31	Ky21	Non_Stiff_Stalk
11116.A25B076.1193837	125.86	6	66.8	0.85	P39	Sweet_Corn
11116.I01A075.1194975	120.16	5	67.7	0.07	B73	Stiff_Stalk
11116.I26A074.1194972	120.16	5	67.7	0.07	CML333	Tropical
11116.I24A099.1194482	120.16	13	68.3	0.07	Tx303	Mixed
11116.L07A065.1196881	260.1	2	69.2	0.47	CML52	Tropical
11116.A09C064.1193798	125.86	2	69.2	0.47	Il14H	Sweet_Corn
11116.A05A088.1196516	125.86	10	69.5	0.12	MS71	Non_Stiff_Stalk
11116.L30A100.1195675	260.1	14	64.1	3.31	CML247	Tropical
11116.L25A066.1194296	260.1	2	69.2	0.47	P39	Sweet_Corn
11116.A14B073.1195558	125.86	5	67.7	0.07	Tzi8	Tropical
11116.A12B085.1198210	125.86	9	71.2	0.03	CML277	Tropical
11116.A02B073.1196026	125.86	5	67.7	0.07	Ky21	Non_Stiff_Stalk
11116.I27A068.1193675	120.16	3	54.5	0.91	CML228	Tropical
11116.I09A083.1196037	120.16	8	73.2	0.09	Il14H	Sweet_Corn
11116.A29A082.1193821	125.86	8	73.2	0.09	CML322	Tropical
11116.L06A065.1195531	260.1	2	69.2	0.47	Mo17	Non_Stiff_Stalk
11116.L29A086.1194563	260.1	9	71.2	0.03	NC358	Tropical
11116.L22A068.1193738	260.1	3	54.5	0.91	CML322	Tropical
11116.I13A087.1193694	120.16	9	71.2	0.03	Mo18W	Mixed
11116.L25A079.1194278	260.1	7	80.0	0.0	P39	Sweet_Corn
11116.I23A090.1195576	120.16	10	69.5	0.12	B73	Stiff_Stalk
11116.A06B070.1198022	125.86	4	64.8	0.4	Mo17	Non_Stiff_Stalk
11116.A29B079.1195428	125.86	7	80.0	0.0	Oh43	Non_Stiff_Stalk
11116.L18A101.1195895	260.1	14	64.1	3.31	Hp301	Popcorn
11116.L28A102.1196533	260.1	14	64.1	3.31	Mo17	Non_Stiff_Stalk
11116.L07A070.1198122	260.1	4	64.8	0.4	CML52	Tropical
11116.I26A081.1194014	120.16	7	80.0	0.0	CML333	Tropical
11116.I12A102.1198027	120.16	14	64.1	3.31	B73	Stiff_Stalk
11116.L31A090.1196724	260.1	10	69.5	0.12	Ki11	Tropical
11116.I24A118.1197344	120.16	20	49.4	0.63	Tx303	Mixed
11116.A21B067.1197361	125.86	3	54.5	0.91	Oh7B	Non_Stiff_Stalk
11116.I07A085.1198029	120.16	9	71.2	0.03	CML52	Tropical
11116.I31A103.1197001	120.16	15	74.5	0.01	Mo17	Non_Stiff_Stalk
