	X.SampleID	elevation	AGE	Temperature	Precipitation3Days	INBREDS	Maize_Line
0	11116.U497A63.1195824	0.8557862360630526	0.6	0.95	0.04229607250755287	0.5769230769230769	0.8
1	11116.I32A064.1197804	0.4619761630142252	0.1	0.865	0.14199395770392748	0.38461538461538464	0.4
2	11116.L01A084.1196740	1.0	0.4	0.915	0.027190332326283987	0.5769230769230769	0.8
3	11116.A09C088.1198172	0.48389081122645133	0.5	0.86875	0.036253776435045314	0.11538461538461539	0.2
4	11116.A09C064.1193798	0.48389081122645133	0.1	0.865	0.14199395770392748	0.11538461538461539	0.2
5	11116.I27A064.1196337	0.4619761630142252	0.1	0.865	0.14199395770392748	0.46153846153846156	0.4
6	11116.A13B091.1194772	0.48389081122645133	0.55	0.9525	0.0634441087613293	0.6923076923076923	0.0
7	11116.A23A091.1194129	0.48389081122645133	0.55	0.9525	0.0634441087613293	0.5769230769230769	0.8
8	11116.L21A086.1195385	1.0	0.45	0.89	0.009063444108761328	0.0	0.0
9	11116.A15D079.1195052	0.48389081122645133	0.35	1.0	0.0	0.34615384615384615	0.0
10	11116.A25B076.1193837	0.48389081122645133	0.3	0.835	0.25679758308157097	0.038461538461538464	0.2
11	11116.U519A63.1195852	0.8557862360630526	0.6	0.95	0.04229607250755287	0.9615384615384616	0.6
12	11116.L06A072.1195926	1.0	0.2	0.8099999999999999	0.12084592145015106	0.34615384615384615	0.0
13	11116.A08B097.1197089	0.48389081122645133	0.65	0.85375	0.021148036253776436	0.11538461538461539	0.2
14	11116.I23A090.1195576	0.4619761630142252	0.5	0.86875	0.036253776435045314	0.5769230769230769	0.8
15	11116.I29A120.1196473	0.4619761630142252	1.0	0.6174999999999999	0.1903323262839879	0.5	0.4
16	11116.I12A094.1194780	0.4619761630142252	0.6	0.95	0.04229607250755287	0.5769230769230769	0.8
17	11116.I07A085.1198029	0.4619761630142252	0.45	0.89	0.009063444108761328	0.23076923076923078	0.4
18	11116.A21B079.1197864	0.48389081122645133	0.35	1.0	0.0	0.0	0.0
19	11116.A02B073.1196026	0.48389081122645133	0.25	0.8462500000000001	0.021148036253776436	0.7692307692307693	0.0
20	11116.L15A092.1196951	1.0	0.55	0.9525	0.0634441087613293	0.34615384615384615	0.0
21	11116.A18D091.1196873	0.48389081122645133	0.55	0.9525	0.0634441087613293	0.8846153846153846	1.0
22	11116.L11A079.1195454	1.0	0.35	1.0	0.0	0.6153846153846154	0.4
23	11116.L05A102.1196776	1.0	0.7	0.8012499999999999	1.0	0.2692307692307692	0.6
24	11116.I16A083.1194553	0.4619761630142252	0.4	0.915	0.027190332326283987	0.6538461538461539	0.4
25	11116.I20A076.1194055	0.4619761630142252	0.3	0.835	0.25679758308157097	0.8846153846153846	1.0
26	11116.I05A102.1196011	0.4619761630142252	0.7	0.8012499999999999	1.0	0.15384615384615385	0.0
27	11116.A21B067.1197361	0.48389081122645133	0.15	0.68125	0.27492447129909364	0.0	0.0
28	11116.I20A099.1197508	0.4619761630142252	0.65	0.85375	0.021148036253776436	0.8846153846153846	1.0
29	11116.I28A074.1196331	0.4619761630142252	0.25	0.8462500000000001	0.021148036253776436	0.34615384615384615	0.0
30	11116.L17A061.1194845	1.0	0.05	0.8875	0.0030211480362537764	0.34615384615384615	0.0
31	11116.L24A085.1195747	1.0	0.45	0.89	0.009063444108761328	0.7307692307692307	0.4
32	11116.I25A119.1198455	0.4619761630142252	1.0	0.6174999999999999	0.1903323262839879	0.038461538461538464	0.2
33	11116.A18A076.1197394	0.48389081122645133	0.3	0.835	0.25679758308157097	0.6923076923076923	0.0
34	11116.L12A090.1194257	1.0	0.5	0.86875	0.036253776435045314	0.5769230769230769	0.8
35	11116.U469A63.1193885	0.8557862360630526	0.6	0.95	0.04229607250755287	0.2692307692307692	0.6
36	11116.A09D082.1195664	0.48389081122645133	0.4	0.915	0.027190332326283987	0.8461538461538461	0.0
37	11116.I11A090.1195305	0.4619761630142252	0.5	0.86875	0.036253776435045314	0.6153846153846154	0.4
38	11116.I24A104.1197865	0.4619761630142252	0.75	0.93125	0.0030211480362537764	0.9615384615384616	0.6
39	11116.A18C085.1196102	0.48389081122645133	0.45	0.89	0.009063444108761328	0.4230769230769231	0.4
40	11116.A29A103.1194320	0.48389081122645133	0.75	0.93125	0.0030211480362537764	0.5	0.4
41	11116.L19A118.1197800	1.0	1.0	0.6174999999999999	0.1903323262839879	0.4230769230769231	0.4
42	11116.L32A097.1196103	1.0	0.65	0.85375	0.021148036253776436	0.6538461538461539	0.4
43	11116.A27B076.1194341	0.48389081122645133	0.3	0.835	0.25679758308157097	0.07692307692307693	0.4
44	11116.A29A094.1194132	0.48389081122645133	0.6	0.95	0.04229607250755287	0.5	0.4
45	11116.A15A073.1196300	0.48389081122645133	0.25	0.8462500000000001	0.021148036253776436	1.0	0.4
46	11116.L08A075.1193955	1.0	0.25	0.8462500000000001	0.021148036253776436	0.11538461538461539	0.2
47	11116.L03A100.1198069	1.0	0.7	0.8012499999999999	1.0	0.7307692307692307	0.4
48	11116.L27A101.1196249	1.0	0.7	0.8012499999999999	1.0	0.07692307692307693	0.4
49	11116.A28A067.1194473	0.48389081122645133	0.15	0.68125	0.27492447129909364	0.34615384615384615	0.0
50	11116.I03A088.1198417	0.4619761630142252	0.5	0.86875	0.036253776435045314	0.7692307692307693	0.0
51	11116.C09A65.1194371	0.9136101499423298	0.6	0.95	0.04229607250755287	0.5769230769230769	0.8
52	11116.A20B079.1197216	0.48389081122645133	0.35	1.0	0.0	0.9230769230769231	0.4
53	11116.I05A084.1197927	0.4619761630142252	0.4	0.915	0.027190332326283987	0.15384615384615385	0.0
54	11116.I30A076.1195645	0.4619761630142252	0.3	0.835	0.25679758308157097	0.5384615384615384	0.4
55	11116.L24A102.1196562	1.0	0.7	0.8012499999999999	1.0	0.46153846153846156	0.4
56	11116.I05A118.1194233	0.4619761630142252	1.0	0.6174999999999999	0.1903323262839879	0.15384615384615385	0.0
57	11116.L03A079.1197750	1.0	0.35	1.0	0.0	0.7307692307692307	0.4
58	11116.C30A62.1195065	0.9136101499423298	0.6	0.95	0.04229607250755287	0.34615384615384615	0.0
59	11116.A33C088.1193662	0.48389081122645133	0.5	0.86875	0.036253776435045314	0.46153846153846156	0.4
60	11116.L01A087.1197168	1.0	0.45	0.89	0.009063444108761328	0.15384615384615385	0.0
61	11116.U521A61.1194655	0.8557862360630526	0.6	0.95	0.04229607250755287	0.07692307692307693	0.4
62	11116.L06A065.1195531	1.0	0.1	0.865	0.14199395770392748	0.34615384615384615	0.0
63	11116.A02D079.1197228	0.48389081122645133	0.35	1.0	0.0	0.7692307692307693	0.0
64	11116.L03A089.1195062	1.0	0.5	0.86875	0.036253776435045314	0.7307692307692307	0.4
65	11116.A07B088.1194377	0.48389081122645133	0.5	0.86875	0.036253776435045314	0.23076923076923078	0.4
66	11116.A04D091.1195890	0.48389081122645133	0.55	0.9525	0.0634441087613293	0.15384615384615385	0.0
67	11116.L30A085.1194785	1.0	0.45	0.89	0.009063444108761328	0.5	0.4
68	11116.L17A104.1196263	1.0	0.75	0.93125	0.0030211480362537764	0.34615384615384615	0.0
69	11116.I29A089.1194492	0.4619761630142252	0.5	0.86875	0.036253776435045314	0.5	0.4
70	11116.I31A074.1194593	0.4619761630142252	0.25	0.8462500000000001	0.021148036253776436	0.34615384615384615	0.0
71	11116.L26A069.1193710	1.0	0.15	0.68125	0.27492447129909364	0.9615384615384616	0.6
72	11116.L26A099.1193853	1.0	0.65	0.85375	0.021148036253776436	0.038461538461538464	0.2
73	11116.A25A103.1197934	0.48389081122645133	0.75	0.93125	0.0030211480362537764	0.038461538461538464	0.2
74	11116.I29A065.1197249	0.4619761630142252	0.1	0.865	0.14199395770392748	0.5	0.4
75	11116.I28A083.1196054	0.4619761630142252	0.4	0.915	0.027190332326283987	0.34615384615384615	0.0
76	11116.L02A070.1198254	1.0	0.2	0.8099999999999999	0.12084592145015106	0.7692307692307693	0.0
77	11116.A24B079.1196418	0.48389081122645133	0.35	1.0	0.0	0.46153846153846156	0.4
78	11116.A23D076.1198032	0.48389081122645133	0.3	0.835	0.25679758308157097	0.5769230769230769	0.8
79	11116.L07A097.1194673	1.0	0.65	0.85375	0.021148036253776436	0.23076923076923078	0.4
80	11116.I22A105.1197160	0.4619761630142252	0.75	0.93125	0.0030211480362537764	0.0	0.0
81	11116.L27A067.1194603	1.0	0.15	0.68125	0.27492447129909364	0.07692307692307693	0.4
82	11116.L17A098.1196170	1.0	0.65	0.85375	0.021148036253776436	0.38461538461538464	0.4
83	11116.A16A073.1194938	0.48389081122645133	0.25	0.8462500000000001	0.021148036253776436	0.6538461538461539	0.4
84	11116.L14A101.1196409	1.0	0.7	0.8012499999999999	1.0	0.5384615384615384	0.4
85	11116.L07A082.1196478	1.0	0.4	0.915	0.027190332326283987	0.23076923076923078	0.4
86	11116.I09A071.1195898	0.4619761630142252	0.2	0.8099999999999999	0.12084592145015106	0.11538461538461539	0.2
87	11116.A06A076.1193863	0.48389081122645133	0.3	0.835	0.25679758308157097	0.34615384615384615	0.0
88	11116.A14D079.1198268	0.48389081122645133	0.35	1.0	0.0	0.5384615384615384	0.4
89	11116.L23A103.1197443	1.0	0.75	0.93125	0.0030211480362537764	0.5769230769230769	0.8
90	11116.A29A082.1193821	0.48389081122645133	0.4	0.915	0.027190332326283987	0.5	0.4
91	11116.L12A095.1195179	1.0	0.6	0.95	0.04229607250755287	0.5769230769230769	0.8
92	11116.A25C082.1198046	0.48389081122645133	0.4	0.915	0.027190332326283987	0.038461538461538464	0.2
93	11116.I06A119.1194304	0.4619761630142252	1.0	0.6174999999999999	0.1903323262839879	0.34615384615384615	0.0
94	11116.A27C100.1194038	0.48389081122645133	0.7	0.8012499999999999	1.0	0.5769230769230769	0.8
95	11116.I23A086.1197611	0.4619761630142252	0.45	0.89	0.009063444108761328	0.5769230769230769	0.8
96	11116.L22A068.1193738	1.0	0.15	0.68125	0.27492447129909364	0.5	0.4
97	11116.I32A118.1193922	0.4619761630142252	1.0	0.6174999999999999	0.1903323262839879	0.38461538461538464	0.4
98	11116.L16A102.1197559	1.0	0.7	0.8012499999999999	1.0	0.38461538461538464	0.4
99	11116.L05A079.1196294	1.0	0.35	1.0	0.0	0.2692307692307692	0.6
100	11116.A18A079.1194658	0.48389081122645133	0.35	1.0	0.0	0.6923076923076923	0.0
101	11116.U471A62.1196833	0.8557862360630526	0.6	0.95	0.04229607250755287	0.5384615384615384	0.4
102	11116.I06A088.1193829	0.4619761630142252	0.5	0.86875	0.036253776435045314	0.34615384615384615	0.0
103	11116.A03C088.1194163	0.48389081122645133	0.5	0.86875	0.036253776435045314	0.8461538461538461	0.0
104	11116.L09A097.1198277	1.0	0.65	0.85375	0.021148036253776436	0.8461538461538461	0.0
105	11116.A03B070.1195321	0.48389081122645133	0.2	0.8099999999999999	0.12084592145015106	0.7307692307692307	0.4
106	11116.L29A076.1194613	1.0	0.3	0.835	0.25679758308157097	0.19230769230769232	0.0
107	11116.I26A074.1194972	0.4619761630142252	0.25	0.8462500000000001	0.021148036253776436	0.07692307692307693	0.4
108	11116.C03A64.1195237	0.9136101499423298	0.6	0.95	0.04229607250755287	0.7307692307692307	0.4
109	11116.I25A101.1195039	0.4619761630142252	0.7	0.8012499999999999	1.0	0.038461538461538464	0.2
110	11116.I16A077.1195837	0.4619761630142252	0.3	0.835	0.25679758308157097	0.6538461538461539	0.4
111	11116.I16A118.1194530	0.4619761630142252	1.0	0.6174999999999999	0.1903323262839879	0.6538461538461539	0.4
112	11116.A29B079.1195428	0.48389081122645133	0.35	1.0	0.0	0.19230769230769232	0.0
113	11116.I01A075.1194975	0.4619761630142252	0.25	0.8462500000000001	0.021148036253776436	0.5769230769230769	0.8
114	11116.L14A069.1197457	1.0	0.15	0.68125	0.27492447129909364	0.5384615384615384	0.4
115	11116.A29B067.1196027	0.48389081122645133	0.15	0.68125	0.27492447129909364	0.19230769230769232	0.0
116	11116.I11A074.1198274	0.4619761630142252	0.25	0.8462500000000001	0.021148036253776436	0.6153846153846154	0.4
117	11116.I03A098.1197529	0.4619761630142252	0.65	0.85375	0.021148036253776436	0.7692307692307693	0.0
118	11116.L07A070.1198122	1.0	0.2	0.8099999999999999	0.12084592145015106	0.23076923076923078	0.4
119	11116.A33B076.1195540	0.48389081122645133	0.3	0.835	0.25679758308157097	0.5769230769230769	0.8
120	11116.A32C070.1197745	0.48389081122645133	0.2	0.8099999999999999	0.12084592145015106	0.38461538461538464	0.4
121	11116.L02A104.1194752	1.0	0.75	0.93125	0.0030211480362537764	0.7692307692307693	0.0
122	11116.L10A084.1196769	1.0	0.4	0.915	0.027190332326283987	0.8076923076923077	0.4
123	11116.A22C088.1195279	0.48389081122645133	0.5	0.86875	0.036253776435045314	0.0	0.0
124	11116.L25A074.1193799	1.0	0.25	0.8462500000000001	0.021148036253776436	0.038461538461538464	0.2
125	11116.L24A071.1198301	1.0	0.2	0.8099999999999999	0.12084592145015106	0.46153846153846156	0.4
126	11116.I18A066.1197035	0.4619761630142252	0.1	0.865	0.14199395770392748	0.6923076923076923	0.0
127	11116.I32A103.1195945	0.4619761630142252	0.75	0.93125	0.0030211480362537764	0.38461538461538464	0.4
128	11116.L11A104.1197701	1.0	0.75	0.93125	0.0030211480362537764	0.6153846153846154	0.4
129	11116.L06A088.1196116	1.0	0.5	0.86875	0.036253776435045314	0.34615384615384615	0.0
