"Model"	"train"	"test"
"10-1"	"76.7856101627872"	"76.6844589733275"
"10-2"	"76.8078231055421"	"76.7087496763064"
"10-3"	"76.8214820272689"	"76.723575519733"
"10-4"	"76.8309209109205"	"76.733928159896"
"10-5"	"76.8378825010108"	"76.7416703647666"
"100-1"	"76.78556697303"	"76.6844121695068"
"100-2"	"76.8077445089227"	"76.7086634666226"
"100-3"	"76.8213784706929"	"76.7234617517761"
"100-4"	"76.8308264582751"	"76.733826170467"
"100-5"	"76.8377749077186"	"76.7415470813798"
"20-1"	"76.7856024955682"	"76.6844500968233"
"20-2"	"76.8077834469416"	"76.7087064177367"
"20-3"	"76.8214579474646"	"76.7235455817883"
"20-4"	"76.8308803621838"	"76.7338851748519"
"20-5"	"76.8378637253107"	"76.7416488384174"
"50-1"	"76.7855813864457"	"76.6844254675989"
"50-2"	"76.8077579052891"	"76.7086783949946"
"50-3"	"76.8214181204921"	"76.723503354933"
"50-4"	"76.8308443338774"	"76.7338458467414"
"50-5"	"76.8378009964367"	"76.741576754594"
