"Model"	"train"	"test"
"10-5-100-1000"	"76.7944298621059"	"76.6946360859024"
"10-5-100-500"	"76.8013289063957"	"76.7021312358326"
"10-6-100-1000"	"76.8287475957159"	"76.7323013729367"
"10-6-100-200"	"76.8438624037072"	"76.7492464157947"
"10-6-100-500"	"76.8266136950708"	"76.7300578237652"
"10-6-100"	"71.2748000092582"	"71.2138815540586"
"10-6-50-250"	"76.7819897410153"	"76.6817237482445"
"10-6-50"	"70.2877245525226"	"70.2348322594982"
"100-10-5-100"	"71.8683355251723"	"71.7176886282472"
"100-10-6-100-500"	"76.8199751423741"	"76.7226821221905"
"100-10-6-100"	"76.5003773582449"	"76.5507584712165"
"100-10-6-50-500"	"76.6812921868968"	"76.5748836999809"
"100-10-6-50"	"71.743893269158"	"71.9221732350272"
"20-10-5-100-200"	"76.8428176187735"	"76.7478629274688"
"20-10-5-100-500"	"76.8437716280533"	"76.748739983018"
"20-10-6-100-1000"	"76.8540441907535"	"76.7601224661262"
"20-10-6-100-200"	"76.807195342595"	"76.7087635713864"
"20-10-6-100-500"	"76.7852175216196"	"76.684822711052"
"20-10-6-50-500"	"76.7848647596534"	"76.6843725222448"
"20-10-6-50"	"69.6619928632877"	"69.7283026173168"
"50-10-6-100-1000"	"76.8500794886896"	"76.7557952972346"
"50-10-6-100-500"	"76.846744737094"	"76.7522500279538"
"50-10-6-100"	"71.165778100002"	"71.1489641121337"
"50-10-6-50-250"	"76.7547745404954"	"76.6528863518761"
"50-10-6-50-500"	"76.8275565598954"	"76.7306685443286"
