"sample_id"	"error_autoencoder"	"error_defaultpredictor"	"better_than_default"
"11116.L25A089.1197223"	"73.0118123882573"	"93.2423066288268"	"1"
"11116.I24A071.1194311"	"99.9966119870204"	"99.4337177589279"	"0"
"11116.I18A067.1196036"	"50.6360551922443"	"53.5757027128509"	"1"
"11116.A04C064.1194508"	"52.6961919726005"	"65.538602232375"	"1"
"11116.L31A082.1195061"	"60.3379770770839"	"81.032615393167"	"1"
"11116.I19A089.1193844"	"62.6972599411315"	"67.1265716700879"	"1"
"11116.L30A118.1194460"	"62.8800586747421"	"73.3613645584013"	"1"
"11116.I26A119.1197623"	"86.8282353491175"	"96.1460413653702"	"1"
"11116.L05A089.1196325"	"61.4754656251865"	"78.7343730383174"	"1"
"11116.C23A62.1195916"	"56.0641913353841"	"67.2424270229089"	"1"
"11116.C20A65.1197321"	"60.626683565022"	"66.7125069277133"	"1"
"11116.A09C070.1197773"	"59.3849181371522"	"66.1585564916289"	"1"
"11116.I21A082.1197047"	"57.3743211148337"	"61.713570116797"	"1"
"11116.I23A119.1193827"	"64.3444179107255"	"80.6155314057455"	"1"
"11116.A13C070.1193831"	"58.9067524215386"	"65.2371350853883"	"1"
"11116.L28A118.1198227"	"61.9247499564415"	"67.9852405202854"	"1"
"11116.A15A070.1195223"	"70.5351072024362"	"68.9288766692161"	"0"
"11116.A06B103.1194143"	"66.5764670729291"	"63.1375477000539"	"0"
"11116.A30B073.1196352"	"52.2892407862969"	"60.1600425233427"	"1"
"11116.I18A070.1196334"	"52.8647446904135"	"63.8330078215644"	"1"
"11116.A28A094.1197280"	"64.5896450223828"	"89.7107707304586"	"1"
"11116.C04A66.1196722"	"52.6324903765506"	"68.3480246761072"	"1"
"11116.A13D118.1194765"	"97.8802401746726"	"96.6057096891076"	"0"
"11116.A03D067.1196832"	"59.8149122798442"	"63.1722202041339"	"1"
"11116.A20A100.1195711"	"64.8329716021894"	"83.991820123705"	"1"
"11116.L30A103.1197277"	"63.7739754026297"	"81.3960032861394"	"1"
"11116.I25A083.1194592"	"73.6366118378093"	"84.5682540139876"	"1"
"11116.L13A080.1198400"	"64.9494447218335"	"73.4612674099214"	"1"
"11116.I09A100.1195709"	"80.5824135915844"	"93.4652186744306"	"1"
"11116.L18A076.1198454"	"52.0508421764147"	"53.7724514878341"	"1"
"11116.A19D091.1195275"	"63.1887481818216"	"90.2990104992031"	"1"
"11116.L29A065.1196335"	"53.6128783804411"	"68.7338631924253"	"1"
"11116.A02C118.1196692"	"92.1046733977393"	"91.9336830912631"	"0"
"11116.L03A118.1195904"	"64.8813416753678"	"81.1541514833583"	"1"
