"id"	"tr1_mse"	"tr1_smape"	"tr2_mse"	"tr2_smape"	"diff_mse"	"diff_smape"	"group_mse"	"group_smape"	"Rank1"	"Rank2"	"Rank3"	"Rank4"	"Rank5"	"Rank6"	"Rank7"	"def_mse"	"def_smape"
"1000876"	"0.000639496095506178"	"50.1740185007227"	"0.000553363822588625"	"50.7252986712996"	8.6132272917553e-05	-0.551280170576895	"similar"	"similar"	"k__Bacteria"	"p__Actinobacteria"	"c__Actinobacteria"	"o__Actinomycetales"	"f__Nocardioidaceae"	"g__Nocardioides"	"s__"	"0.000893492990689166"	"61.3742361579138"
"100640"	"1.60814436201472e-05"	"60.7578002953833"	"1.91468473287135e-05"	"67.2309505924845"	-3.0654037085663e-06	-6.47315029710121	"similar"	"better"	"k__Bacteria"	"p__Proteobacteria"	"c__Betaproteobacteria"	"o__IS-44"	"f__"	"g__"	"s__"	"1.84307708081946e-05"	"70.094849585738"
"100737"	"0.00469415924407424"	"55.85772650098"	"0.00455264509449649"	"62.1705792289913"	0.00014151414957775	-6.3128527280113	"worse"	"better"	"k__Bacteria"	"p__Verrucomicrobia"	"c__Opitutae"	"o__Opitutales"	"f__Opitutaceae"	"g__"	"s__"	"0.00606156149762157"	"67.5275291926319"
"1008533"	"0.00074728171073043"	"63.3324779472842"	"0.00100131298942394"	"67.9943985732123"	-0.00025403127869351	-4.6619206259281	"better"	"better"	"k__Bacteria"	"p__Bacteroidetes"	"c__Cytophagia"	"o__Cytophagales"	"f__Cytophagaceae"	"g__"	"s__"	"0.00129528521729687"	"73.7495366993605"
"1009440"	"2.33059480655347e-05"	"62.5040260719271"	"3.10991126779342e-05"	"65.9425121391075"	-7.7931646123995e-06	-3.43848606718041	"similar"	"better"	"k__Bacteria"	"p__Proteobacteria"	"c__Alphaproteobacteria"	"o__Caulobacterales"	"f__Caulobacteraceae"	"g__"	"s__"	"3.27077655834033e-05"	"67.4303520012781"
"1011958"	"7.83029358976706e-05"	"53.0565678908131"	"9.24372264902215e-05"	"55.9052373011854"	-1.41342905925509e-05	-2.8486694103723	"similar"	"better"	"k__Bacteria"	"p__Verrucomicrobia"	"c__[Spartobacteria]"	"o__[Chthoniobacterales]"	"f__[Chthoniobacteraceae]"	"g__"	"s__"	"0.000108940348256869"	"59.0054940038713"
"1012668"	"0.000103693901859243"	"52.816758114981"	"0.000120750954506394"	"55.6992288046332"	-1.7057052647151e-05	-2.8824706896522	"similar"	"better"	"k__Bacteria"	"p__Actinobacteria"	"c__Acidimicrobiia"	"o__Acidimicrobiales"	"f__EB1017"	"g__"	"s__"	"0.000220778063223461"	"64.8503273053794"
"1015017"	"3.96219428122656e-05"	"59.2979143098682"	"3.82332219247798e-05"	"60.4910793045386"	1.3887208874858e-06	-1.1931649946704	"similar"	"better"	"k__Bacteria"	"p__Proteobacteria"	"c__Deltaproteobacteria"	"o__Myxococcales"	"f__Nannocystaceae"	"g__Nannocystis"	"s__exedens"	"4.42649738186882e-05"	"63.4940640467227"
"1015227"	"1.1613328731711e-05"	"83.0094668779736"	"1.62214070241214e-05"	"85.2433617590086"	-4.6080782924104e-06	-2.233894881035	"similar"	"better"	"k__Bacteria"	"p__Actinobacteria"	"c__Actinobacteria"	"o__Actinomycetales"	"f__Nocardioidaceae"	"g__"	"s__"	"1.65827784923501e-05"	"86.2222211146004"
"1016118"	"0.000659221563002337"	"64.0277528521941"	"0.000650721989010976"	"67.9973056205869"	8.49957399136098e-06	-3.9695527683928	"similar"	"better"	"k__Bacteria"	"p__Proteobacteria"	"c__Deltaproteobacteria"	"o__Myxococcales"	"f__"	"g__"	"s__"	"0.000716180114666111"	"69.0606602030526"
