"id"	"tr1_mse"	"tr1_smape"	"tr2_mse"	"tr2_smape"	"diff_mse"	"diff_smape"	"group_mse"	"group_smape"	"elevation"	"AGE"	"Temperature"	"Precipitation3Days"	"INBREDS"	"Maize_Line"	"def_mse"	"def_smape"
"11116.A03A079.1196351"	"0.00321191074952751"	"78.956636944799"	"0.00265476914025802"	"79.2035759091723"	" 5.571416e-04"	" -0.24693896"	"worse"	"similar"	"125.86"	"7"	"80"	"0"	"M162W"	"Non_Stiff_Stalk"	"0.00177816136506899"	"74.9024290838965"
"11116.A03D097.1197900"	"0.000129114526568189"	"82.0250413028908"	"0.000252244935661471"	"89.1263273101984"	"-1.231304e-04"	" -7.10128601"	"better"	"better"	"125.86"	"13"	"68.3"	"0.07"	"Ki3"	"Tropical"	"0.00114979217699038"	"91.0379948784241"
"11116.A04C091.1196238"	"0.000425709836933864"	"81.2498179518006"	"0.000969905741107405"	"88.5737256680238"	"-5.441959e-04"	" -7.32390772"	"better"	"better"	"125.86"	"11"	"76.2"	"0.21"	"Oh43"	"Non_Stiff_Stalk"	"0.0016797851385884"	"89.7238380898252"
"11116.A05B064.1196973"	"0.000738061593835928"	"53.1049655815401"	"0.00232427672938874"	"61.153056261943"	"-1.586215e-03"	" -8.04809068"	"better"	"better"	"125.86"	"2"	"69.2"	"0.47"	"Mo18W"	"Mixed"	"0.00569739014311189"	"64.3846548524542"
"11116.A05C064.1198397"	"0.00124114393014919"	"51.8509796177909"	"0.00293187754759138"	"56.9219027763549"	"-1.690734e-03"	" -5.07092316"	"better"	"better"	"125.86"	"2"	"69.2"	"0.47"	"MS71"	"Non_Stiff_Stalk"	"0.00411986349209856"	"58.8073524266166"
"11116.A06B070.1198022"	"0.00222685315002922"	"51.9525851116103"	"0.0015207320311571"	"58.1243163219785"	" 7.061211e-04"	" -6.17173121"	"worse"	"better"	"125.86"	"4"	"64.8"	"0.4"	"Mo17"	"Non_Stiff_Stalk"	"0.00253803443472845"	"54.2516925839483"
"11116.A08C070.1196536"	"0.00320461073376117"	"67.4171136374652"	"0.00345415690124141"	"70.1076312747544"	"-2.495462e-04"	" -2.69051764"	"better"	"better"	"125.86"	"4"	"64.8"	"0.4"	"CML277"	"Tropical"	"0.00340946308151509"	"65.6434532796964"
"11116.A09D070.1194025"	"0.0055652883358682"	"60.6057103620564"	"0.00649181506996229"	"66.1548560181759"	"-9.265267e-04"	" -5.54914566"	"better"	"better"	"125.86"	"4"	"64.8"	"0.4"	"M162W"	"Non_Stiff_Stalk"	"0.0068519553665023"	"61.5859484747612"
"11116.A12A097.1196311"	"8.07534277523628e-05"	"89.3653018224297"	"0.000279595100084726"	"94.3513504682199"	"-1.988417e-04"	" -4.98604865"	"better"	"better"	"125.86"	"13"	"68.3"	"0.07"	"B73"	"Stiff_Stalk"	"0.00117952407913835"	"94.2568596103947"
"11116.A13B082.1195362"	"0.00032825283696462"	"92.8631228893253"	"0.00105980737244046"	"97.7296204108386"	"-7.315545e-04"	" -4.86649752"	"better"	"better"	"125.86"	"8"	"73.2"	"0.09"	"B97"	"Non_Stiff_Stalk"	"0.000967623153204568"	"94.7830424706707"
"11116.A16A067.1194201"	"0.00099384318127583"	"51.8012229832895"	"0.00178857677163666"	"60.2858105632721"	"-7.947336e-04"	" -8.48458758"	"better"	"better"	"125.86"	"3"	"54.5"	"0.91"	"CML247"	"Tropical"	"0.00100758609224021"	"54.146614922562"
"11116.A17D103.1197812"	"0.0004397710652245"	"61.2864744439619"	"0.000368928059255531"	"65.1145585347406"	" 7.084301e-05"	" -3.82808409"	"similar"	"better"	"125.86"	"15"	"74.5"	"0.01"	"Mo17"	"Non_Stiff_Stalk"	"0.000981701880891506"	"77.6671757495659"
"11116.A21A073.1196739"	"0.0023667731885245"	"66.6404242916549"	"0.00348796759119113"	"69.2577808641289"	"-1.121194e-03"	" -2.61735657"	"better"	"better"	"125.86"	"5"	"67.7"	"0.07"	"Tx303"	"Mixed"	"0.0040776739735442"	"63.6970995811703"
"11116.A21B064.1196858"	"0.00103104704082282"	"55.5330227124284"	"0.00199746281848041"	"58.4213649951484"	"-9.664158e-04"	" -2.88834228"	"better"	"better"	"125.86"	"2"	"69.2"	"0.47"	"Oh7B"	"Non_Stiff_Stalk"	"0.00578894785203734"	"66.5385858473062"
"11116.A21B085.1193945"	"0.00835983621044874"	"81.3542254551099"	"0.00661308279487905"	"64.7137391235351"	" 1.746753e-03"	" 16.64048633"	"worse"	"worse"	"125.86"	"9"	"71.2"	"0.03"	"B97"	"Non_Stiff_Stalk"	"0.00586246854879223"	"59.6240929529012"
"11116.A23D079.1196226"	"0.00207054476122776"	"63.3258055988433"	"0.00249937724381015"	"67.1815718485476"	"-4.288325e-04"	" -3.85576625"	"better"	"better"	"125.86"	"7"	"80"	"0"	"B73"	"Stiff_Stalk"	"0.00241029035649352"	"62.0055958899176"
"11116.A25A070.1197213"	"0.0022703582805342"	"72.900165396191"	"0.00298565035394007"	"75.12466257241"	"-7.152921e-04"	" -2.22449718"	"better"	"better"	"125.86"	"4"	"64.8"	"0.4"	"P39"	"Sweet_Corn"	"0.0020444167387192"	"69.7456728620164"
"11116.A25D085.1195615"	"0.00042199859847353"	"67.4709068911574"	"0.00125536900518019"	"80.9477240758555"	"-8.333704e-04"	"-13.47681718"	"better"	"better"	"125.86"	"9"	"71.2"	"0.03"	"Ki11"	"Tropical"	"0.00162590068229576"	"81.9252696524317"
"11116.A27B082.1195286"	"0.000236181895245096"	"81.6022825648923"	"0.00108290622862089"	"94.4548188234323"	"-8.467243e-04"	"-12.85253626"	"better"	"better"	"125.86"	"8"	"73.2"	"0.09"	"CML333"	"Tropical"	"0.000932083331175577"	"91.038925212984"
"11116.A27C061.1197137"	"0.00345010701409343"	"56.7689665986341"	"0.00919050869739542"	"67.4228875217393"	"-5.740402e-03"	"-10.65392092"	"better"	"better"	"125.86"	"1"	"71"	"0.01"	"B73"	"Stiff_Stalk"	"0.00916858967421457"	"67.1312207451913"
"11116.A28A118.1196538"	"0.000523718852785627"	"86.070164033363"	"0.000528991492488291"	"79.9386001164185"	"-5.272640e-06"	"  6.13156392"	"similar"	"worse"	"125.86"	"20"	"49.4"	"0.63"	"Mo17"	"Non_Stiff_Stalk"	"0.000923964751218986"	"91.4173085567821"
"11116.A29C091.1195774"	"0.000299521898695531"	"80.7977282547969"	"0.000276720979725011"	"88.9976960267906"	" 2.280092e-05"	" -8.19996777"	"similar"	"better"	"125.86"	"11"	"76.2"	"0.21"	"CML322"	"Tropical"	"0.000864616826366536"	"90.2849854691372"
"11116.C06A66.1197511"	"0.000244276778979448"	"62.1344841274394"	"0.000188387792284758"	"64.1955879789947"	" 5.588899e-05"	" -2.06110385"	"similar"	"better"	"237.63"	"12"	"76"	"0.14"	"P39"	"Sweet_Corn"	"0.000825482143673421"	"71.6810337271674"
"11116.C24A66.1193605"	"0.000815774595761428"	"73.3380904282139"	"0.000578625495806066"	"70.6229726945852"	" 2.371491e-04"	"  2.71511773"	"worse"	"worse"	"237.63"	"12"	"76"	"0.14"	"Oh43"	"Non_Stiff_Stalk"	"0.000803390878689376"	"61.3215256534211"
"11116.I02A120.1195651"	"0.000525904204318323"	"77.9772611772477"	"0.00044812067481795"	"74.9206014619844"	" 7.778353e-05"	"  3.05665972"	"similar"	"worse"	"120.16"	"20"	"49.4"	"0.63"	"Ki3"	"Tropical"	"0.00156300536452411"	"86.0525341258072"
"11116.I03A068.1197322"	"0.00269080330885694"	"55.7618681399586"	"0.00475778659598037"	"58.0449306562912"	"-2.066983e-03"	" -2.28306252"	"better"	"better"	"120.16"	"3"	"54.5"	"0.91"	"Ky21"	"Non_Stiff_Stalk"	"0.00611086111646462"	"62.752613098453"
"11116.I03A076.1195434"	"0.00246681879663367"	"48.9398704168292"	"0.0027415728757962"	"49.8943108842286"	"-2.747541e-04"	" -0.95444047"	"better"	"similar"	"120.16"	"6"	"66.8"	"0.85"	"Ky21"	"Non_Stiff_Stalk"	"0.00311555168270113"	"48.3090058220031"
"11116.I04A071.1196314"	"0.00606777778549917"	"99.4013630178941"	"0.00584635100136675"	"99.3452352391243"	" 2.214268e-04"	"  0.05612778"	"worse"	"similar"	"120.16"	"4"	"64.8"	"0.4"	"Oh43"	"Non_Stiff_Stalk"	"0.0045685904208953"	"96.3772957741248"
"11116.I07A104.1196389"	"0.00137963599045025"	"77.1843259467278"	"0.00133607060575316"	"69.1734853258086"	" 4.356538e-05"	"  8.01084062"	"similar"	"worse"	"120.16"	"15"	"74.5"	"0.01"	"CML52"	"Tropical"	"0.000834140726060054"	"55.1730966740593"
