"id"	"tr1_mse"	"tr1_smape"	"tr2_mse"	"tr2_smape"	"diff_mse"	"diff_smape"	"group_mse"	"group_smape"	"elevation"	"AGE"	"Temperature"	"Precipitation3Days"	"INBREDS"	"Maize_Line"	"def_mse"	"def_smape"
"11116.A02B073.1196026"	"0.0022491945799336"	"68.6569440321055"	"0.00265120969951823"	"75.9255374735329"	"-4.020151e-04"	" -7.268593441"	"better"	"better"	"125.86"	"5"	"67.7"	"0.07"	"Ky21"	"Non_Stiff_Stalk"	"0.00230055412101348"	"66.3968690933347"
"11116.A02B091.1196657"	"5.96563564161188e-05"	"95.3275356418737"	"0.000444466505881706"	"97.6958101583004"	"-3.848101e-04"	" -2.368274516"	"better"	"better"	"125.86"	"11"	"76.2"	"0.21"	"Ky21"	"Non_Stiff_Stalk"	"0.00119675302426121"	"95.6517041178375"
"11116.A02D079.1197228"	"0.00184826537631992"	"75.2164872956439"	"0.00221520785664855"	"77.2766957687618"	"-3.669425e-04"	" -2.060208473"	"better"	"better"	"125.86"	"7"	"80"	"0"	"Ky21"	"Non_Stiff_Stalk"	"0.00227391831155353"	"72.7564697498645"
"11116.A03B070.1195321"	"0.0035981769633299"	"62.3852261251907"	"0.00284442162834276"	"63.8651376436612"	" 7.537553e-04"	" -1.479911518"	"worse"	"better"	"125.86"	"4"	"64.8"	"0.4"	"Ki3"	"Tropical"	"0.00441320450289255"	"61.3152546916268"
"11116.A03B073.1198468"	"0.0020282012085275"	"61.3390806916735"	"0.00248642013332999"	"68.7645805907921"	"-4.582189e-04"	" -7.425499899"	"better"	"better"	"125.86"	"5"	"67.7"	"0.07"	"Ki3"	"Tropical"	"0.00227546897939784"	"60.6279075718089"
"11116.A03B082.1197011"	"0.000326057682390662"	"86.9177528073858"	"0.00155617066806123"	"94.9229777251997"	"-1.230113e-03"	" -8.005224918"	"better"	"better"	"125.86"	"8"	"73.2"	"0.09"	"Ki3"	"Tropical"	"0.00170591619202602"	"92.6068143249967"
"11116.A03C073.1195952"	"0.00354804065816785"	"58.399519907044"	"0.00453190811102068"	"60.5989540858003"	"-9.838675e-04"	" -2.199434179"	"better"	"better"	"125.86"	"5"	"67.7"	"0.07"	"M162W"	"Non_Stiff_Stalk"	"0.00604568314434352"	"60.061271747695"
"11116.A03C088.1194163"	"0.000776637051969572"	"90.1118045239877"	"0.0011507506311132"	"96.0315973671551"	"-3.741136e-04"	" -5.919792843"	"better"	"better"	"125.86"	"10"	"69.5"	"0.12"	"M162W"	"Non_Stiff_Stalk"	"0.00173489659498441"	"94.0665047745577"
"11116.A03D076.1195997"	"0.00228929680450974"	"70.4214486161948"	"0.00387006578602622"	"71.9179096824287"	"-1.580769e-03"	" -1.496461066"	"better"	"better"	"125.86"	"6"	"66.8"	"0.85"	"Ki3"	"Tropical"	"0.00439657989665864"	"66.7687220241638"
"11116.A03D103.1196464"	"0.000660302080136387"	"62.7108440413445"	"0.000549072527112484"	"67.0652884368308"	" 1.112296e-04"	" -4.354444395"	"worse"	"better"	"125.86"	"15"	"74.5"	"0.01"	"Ki3"	"Tropical"	"0.00164993857875192"	"77.6882269775715"
"11116.A04B103.1196185"	"0.000102773071872235"	"72.0529571168759"	"0.000210491034629897"	"83.2161542201959"	"-1.077180e-04"	"-11.163197103"	"better"	"better"	"125.86"	"15"	"74.5"	"0.01"	"MS71"	"Non_Stiff_Stalk"	"0.00124300129992415"	"90.1893011203096"
"11116.A04C103.1196094"	"0.000844382480195611"	"68.649910672323"	"0.000622885687059899"	"60.3354040399433"	" 2.214968e-04"	"  8.314506632"	"worse"	"worse"	"125.86"	"15"	"74.5"	"0.01"	"Oh43"	"Non_Stiff_Stalk"	"0.00125060770368027"	"60.2972848179258"
"11116.A04D091.1195890"	"0.000326709083125231"	"60.5824188112083"	"0.000848045883130184"	"62.8919444824604"	"-5.213368e-04"	" -2.309525671"	"better"	"better"	"125.86"	"11"	"76.2"	"0.21"	"MS71"	"Non_Stiff_Stalk"	"0.00142478360581521"	"63.0768754872425"
"11116.A05A067.1197058"	"0.003864578519284"	"58.6988323489811"	"0.00279318233693475"	"59.0880290648438"	" 1.071396e-03"	" -0.389196716"	"worse"	"similar"	"125.86"	"3"	"54.5"	"0.91"	"MS71"	"Non_Stiff_Stalk"	"0.00373431429372326"	"59.3675799508901"
"11116.A05A088.1196516"	"0.00417139600477042"	"73.9591807569855"	"0.00331682193680315"	"63.7578881338604"	" 8.545741e-04"	" 10.201292623"	"worse"	"worse"	"125.86"	"10"	"69.5"	"0.12"	"MS71"	"Non_Stiff_Stalk"	"0.00290556040895339"	"58.7712774789051"
"11116.A05C097.1198256"	"0.000419864478262157"	"78.710897792335"	"0.000645013684447589"	"90.8724945379342"	"-2.251492e-04"	"-12.161596746"	"better"	"better"	"125.86"	"13"	"68.3"	"0.07"	"MS71"	"Non_Stiff_Stalk"	"0.00161421469848537"	"92.2939313431699"
"11116.A05D070.1193898"	"0.00501288396796147"	"59.9544397161617"	"0.00606441920895511"	"61.438286064332"	"-1.051535e-03"	" -1.483846348"	"better"	"better"	"125.86"	"4"	"64.8"	"0.4"	"Mo18W"	"Mixed"	"0.00872172171868601"	"64.3492070138862"
"11116.A05D103.1195579"	"8.35674915390106e-05"	"80.9448683646739"	"0.000125300051714263"	"85.9223443488135"	"-4.173256e-05"	" -4.977475984"	"similar"	"better"	"125.86"	"15"	"74.5"	"0.01"	"Mo18W"	"Mixed"	"0.000920175419695968"	"90.8799026226679"
"11116.A06A076.1193863"	"0.00279479131914568"	"57.8794034211151"	"0.00521524402442344"	"62.6672719307696"	"-2.420453e-03"	" -4.787868510"	"better"	"better"	"125.86"	"6"	"66.8"	"0.85"	"Mo17"	"Non_Stiff_Stalk"	"0.00674644941304931"	"62.6733757653209"
"11116.A06B097.1197687"	"3.5546944210987e-05"	"85.9430890291829"	"0.00020926468973814"	"93.1784463548008"	"-1.737177e-04"	" -7.235357326"	"better"	"better"	"125.86"	"13"	"68.3"	"0.07"	"Mo17"	"Non_Stiff_Stalk"	"0.00105165922113222"	"93.6266488694937"
"11116.A07B088.1194377"	"0.000134462121284631"	"73.4713276207689"	"0.000406144782404413"	"89.7747322383922"	"-2.716827e-04"	"-16.303404618"	"better"	"better"	"125.86"	"10"	"69.5"	"0.12"	"CML52"	"Tropical"	"0.000917426494244795"	"89.3417734732449"
"11116.A07B091.1193796"	"0.000159650662347735"	"92.971035189743"	"0.000341344158220515"	"96.643423650899"	"-1.816935e-04"	" -3.672388461"	"better"	"better"	"125.86"	"11"	"76.2"	"0.21"	"CML52"	"Tropical"	"0.000977177411281248"	"94.8269750920418"
"11116.A08B067.1197781"	"0.00180033783296033"	"58.6138922696061"	"0.00288040294220365"	"58.25442180924"	"-1.080065e-03"	"  0.359470460"	"better"	"similar"	"125.86"	"3"	"54.5"	"0.91"	"Il14H"	"Sweet_Corn"	"0.00463957622096083"	"62.0307633914732"
"11116.A08B091.1196978"	"0.000193466706691508"	"90.4786896309251"	"0.000948844568724306"	"94.96759915553"	"-7.553779e-04"	" -4.488909525"	"better"	"better"	"125.86"	"11"	"76.2"	"0.21"	"Il14H"	"Sweet_Corn"	"0.00180220500174866"	"93.6991514021563"
"11116.A08B097.1197089"	"4.1705491501369e-05"	"73.9547148867454"	"0.000231756109401631"	"85.4136488790467"	"-1.900506e-04"	"-11.458933992"	"better"	"better"	"125.86"	"13"	"68.3"	"0.07"	"Il14H"	"Sweet_Corn"	"0.0010532587029562"	"88.7830718698079"
"11116.A09C064.1193798"	"0.000936463184339924"	"56.1090870975955"	"0.0023626025287786"	"61.4496842753693"	"-1.426139e-03"	" -5.340597178"	"better"	"better"	"125.86"	"2"	"69.2"	"0.47"	"Il14H"	"Sweet_Corn"	"0.00470876209445496"	"63.2013514093104"
"11116.A09C088.1198172"	"2.02949843534747e-05"	"65.3422965940242"	"0.000555447519009666"	"84.8959937445723"	"-5.351525e-04"	"-19.553697151"	"better"	"better"	"125.86"	"10"	"69.5"	"0.12"	"Il14H"	"Sweet_Corn"	"0.00107709249760552"	"84.9187304056638"
"11116.A09C118.1197337"	"0.0029701807197377"	"67.6881381422393"	"0.00350378966590226"	"74.2660346549956"	"-5.336089e-04"	" -6.577896513"	"better"	"better"	"125.86"	"20"	"49.4"	"0.63"	"Il14H"	"Sweet_Corn"	"0.00264241912971252"	"56.2576184342852"
"11116.A09D082.1195664"	"0.000743355703451077"	"66.8231712745037"	"0.0011923579563506"	"77.7057310261601"	"-4.490023e-04"	"-10.882559752"	"better"	"better"	"125.86"	"8"	"73.2"	"0.09"	"M162W"	"Non_Stiff_Stalk"	"0.0010811558694155"	"74.8197100977701"
"11116.A10A082.1196965"	"0.000239181302319814"	"82.3570904325117"	"0.00158747079079915"	"93.1580815375185"	"-1.348289e-03"	"-10.800991105"	"better"	"better"	"125.86"	"8"	"73.2"	"0.09"	"Ky21"	"Non_Stiff_Stalk"	"0.00166286419013191"	"90.2962952068323"
"11116.A10D085.1193664"	"0.00300932627232801"	"67.7595896238679"	"0.00221539004774147"	"76.7064446500327"	" 7.939362e-04"	" -8.946855026"	"worse"	"better"	"125.86"	"9"	"71.2"	"0.03"	"Tx303"	"Mixed"	"0.00195317944383457"	"75.1377330194914"
"11116.A11C064.1194809"	"0.00158209470492754"	"52.2721864531072"	"0.00299629573009426"	"62.6439647251794"	"-1.414201e-03"	"-10.371778272"	"better"	"better"	"125.86"	"2"	"69.2"	"0.47"	"NC350"	"Tropical"	"0.00606387503376677"	"65.5066595049124"
"11116.A12B064.1195663"	"0.000570355981206877"	"51.3535190340965"	"0.00230018907085382"	"61.7693370127168"	"-1.729833e-03"	"-10.415817979"	"better"	"better"	"125.86"	"2"	"69.2"	"0.47"	"B73"	"Stiff_Stalk"	"0.00549396594192617"	"63.114870740259"
"11116.A12B085.1198210"	"0.000213113421435488"	"94.6016126023028"	"0.00063016766064176"	"97.4197240490306"	"-4.170542e-04"	" -2.818111447"	"better"	"better"	"125.86"	"9"	"71.2"	"0.03"	"CML277"	"Tropical"	"0.000981169756834193"	"95.1653131646934"
