X.SampleID	1	2	3	4	5	6
11116.I22A105.1197160	0.1006751	-0.20249762	-0.504608	-0.38289487	0.20028302	0.3016624
11116.L31A077.1195601	-0.18537423	-0.40450883	0.4923587	-0.417758	0.18304376	0.024660295
11116.I20A099.1197508	-0.08221838	-0.11672224	-0.3370825	-0.53990537	0.15641259	0.37983966
11116.I21A074.1195716	0.34224	-0.094292894	0.2728458	0.3058028	0.4097143	-0.20000197
11116.A22C088.1195279	-0.08740062	0.09185402	-0.46889278	-0.5965657	0.038703285	0.44737774
11116.A27B076.1194341	-0.09957804	0.3552411	0.39557892	-0.44996098	-0.03247549	0.14671394
11116.A26A064.1198133	-0.5934851	0.5744545	-0.061794184	0.12028543	-0.23386109	-0.5095726
11116.L03A079.1197750	0.21374561	-0.35771358	0.2548935	-0.49006623	0.093191564	0.08860284
11116.I10A085.1197118	0.08991055	-0.24442552	-0.18730848	-0.29470927	0.35163242	0.06614866
11116.I32A118.1193922	0.20153534	-0.3368613	-0.28940758	-0.46232602	0.01261777	0.38766876
11116.U443A61.1194453	0.2586601	-0.2149076	-0.50553906	-0.16718805	0.20358123	0.077121496
11116.A14D079.1198268	0.07377419	0.35472167	0.13559616	-0.5137759	-0.021045588	0.19943102
11116.A20A082.1197310	-0.08863501	0.17687528	-0.10366026	-0.6795461	-0.02136372	0.35923913
11116.I26A097.1197987	-0.08402037	-0.16813558	-0.50391513	-0.46380714	0.19287217	0.3971089
11116.L28A067.1197409	-0.041296255	-0.39171028	0.1533446	-0.36888632	-0.034353442	0.057120387
11116.L03A065.1193914	-0.6755105	-0.49269882	0.052564662	-0.03195618	0.085922636	-0.52898705
11116.A16A067.1194201	-0.09047438	0.14586847	-0.024353076	-0.32773048	-0.15350842	0.1987454
11116.I08A120.1194488	0.30841133	-0.21764593	-0.29592106	-0.47171792	-0.029888814	0.44005683
11116.I08A081.1197521	0.3391835	-0.0854385	0.16549009	0.0039359774	0.38798037	-0.043206118
11116.I21A077.1194016	0.29106662	-0.17180963	0.32028648	0.19384603	0.35574657	-0.22959504
11116.A15C103.1197053	0.08213615	0.0914105	-0.52406687	-0.47203106	0.10370581	0.4349943
11116.L09A091.1197835	-0.0028428657	-0.1706478	-0.3794704	-0.48939446	0.043328375	0.1673127
11116.L14A071.1198467	0.08415639	-0.40135896	0.48268998	-0.37515944	0.13782217	0.08398843
11116.L02A104.1194752	0.122318305	-0.15473136	-0.43385476	-0.40171984	0.055498503	0.23597099
11116.C24A66.1193605	0.059926733	-0.23968899	-0.34184632	-0.4169745	0.069434166	-0.0048403656
11116.A23A091.1194129	0.076391056	0.009276749	-0.47039425	-0.5616768	0.1256651	0.44334424
11116.A23B070.1197945	-0.072102994	0.59609133	0.31615284	-0.45618874	-0.25318113	0.28822917
11116.I23A068.1196368	0.29101533	-0.49892342	0.082192615	0.23244569	0.3544823	-0.0523204
11116.I10A118.1196783	0.3352885	-0.26407236	-0.36567232	-0.40816078	0.03751756	0.43772554
11116.I30A085.1197727	0.042478252	-0.21365708	-0.25898477	-0.46758807	0.28200573	0.17993364
11116.A07B088.1194377	-0.11433095	0.052469656	-0.48811993	-0.56951505	0.07752406	0.40886545
11116.L12A073.1198323	0.23010527	-0.22461241	0.23307258	-0.4395642	0.08799184	0.26264688
11116.A11C064.1194809	-0.5987655	0.26224944	-0.119866036	-0.048562672	-0.23192687	-0.396173
11116.L24A085.1195747	-0.029497823	-0.25734863	-0.378015	-0.5456555	0.08292049	0.25799468
11116.A33B076.1195540	-0.07643994	0.3234437	0.352757	-0.4385304	-0.108492054	0.18642801
11116.I25A101.1195039	0.054232676	-0.18662106	-0.42479074	-0.49740446	0.19352145	0.3791804
11116.I23A086.1197611	0.040985435	-0.30500153	-0.24848613	-0.49755594	0.3468888	0.27199352
11116.A09D070.1194025	0.09451492	0.61865145	0.20215487	-0.58027685	-0.34620783	0.41837654
11116.A08B067.1197781	-0.059257675	0.28298533	0.21121314	-0.5800266	-0.3807443	0.21762304
11116.I21A091.1197157	0.20713386	-0.093494534	-0.38459605	-0.30020878	0.30266404	0.20673667
11116.L19A077.1194622	-0.14556535	-0.31561053	0.3811986	-0.27786073	0.1260799	-0.14147991
11116.I21A067.1194676	0.26803046	-0.3552311	0.06030239	0.35409692	0.31070635	-0.30230013
11116.I12A094.1194780	0.04815521	-0.16728155	-0.40855536	-0.43526068	0.2931948	0.28531787
11116.A25A070.1197213	-0.045704834	0.4660832	0.51042193	-0.48384014	-0.09945998	0.19581294
11116.L02A100.1198181	0.21152209	-0.14086469	-0.48349756	-0.52676934	-0.16962293	0.47202381
11116.A25B076.1193837	-0.14141162	0.3387372	0.41899312	-0.42638263	0.011801226	0.0626323
