X.SampleID	1	2	3	4	5	6
11116.I22A105.1197160	0.018331336	-0.14855143	-0.39349666	-0.36660746	0.2946665	0.17262307
11116.L31A077.1195601	0.013021716	-0.3279735	0.4060724	-0.33765128	0.080517836	0.022812875
11116.I20A099.1197508	-0.03983366	0.0010806167	-0.45521316	-0.50808895	0.132676	0.35542732
11116.I21A074.1195716	0.22141902	-0.32527483	0.4096275	0.29590002	0.53966683	-0.12962814
11116.A22C088.1195279	-0.036813807	0.0054378714	-0.48803404	-0.55264586	0.059222616	0.5065246
11116.A27B076.1194341	-0.07454513	0.4789768	0.28354713	-0.46868268	-0.0282595	0.043705676
11116.A26A064.1198133	-0.5274885	0.57515395	0.062582254	0.0327966	-0.3106563	-0.47037214
11116.L03A079.1197750	0.38637373	-0.1296321	0.30990985	-0.47974303	0.0064230785	0.06640304
11116.I10A085.1197118	0.06852651	-0.12019094	-0.24753107	-0.4251674	0.30035585	0.09138154
11116.I32A118.1193922	0.2703054	-0.29246873	-0.27492723	-0.47922227	0.022738162	0.41588098
11116.U443A61.1194453	0.11673608	-0.18546946	-0.4702014	-0.2619747	0.14263962	0.17467698
11116.A14D079.1198268	0.050537538	0.36154202	0.17705259	-0.4967826	0.016603246	0.10713053
11116.A20A082.1197310	0.15149179	-0.084434085	-0.20631115	-0.59534603	0.10025791	0.46243098
11116.I26A097.1197987	-0.017405286	-0.054576397	-0.4271671	-0.45554703	0.19896121	0.27587906
11116.L28A067.1197409	-0.07511878	-0.3722463	0.1128726	-0.34697616	0.0058292006	0.20076334
11116.L03A065.1193914	-0.53842795	-0.456821	0.09506589	-0.06446942	0.019963747	-0.52190226
11116.A16A067.1194201	-0.13432221	0.2794054	0.15345842	-0.21128342	-0.17189316	-0.13028835
11116.I08A120.1194488	0.23227373	-0.26344004	-0.31764516	-0.445078	0.04576356	0.41322544
11116.I08A081.1197521	0.19288073	-0.121263646	0.3244274	-0.011287796	0.42872548	-0.08455062
11116.I21A077.1194016	0.22226746	-0.37648973	0.40110475	0.15520677	0.50418246	-0.019043943
11116.A15C103.1197053	-0.05677214	0.030928174	-0.51678157	-0.5547932	0.04493646	0.505893
11116.L09A091.1197835	0.0051552043	-0.1830014	-0.4374294	-0.4465081	0.10481879	0.17389013
11116.L14A071.1198467	0.11242068	-0.4580763	0.47714993	-0.42945614	0.044181313	0.14778379
