	loss	val_loss	n_iter
20-10-5-10-20	0.00280203466838	0.00288459866871	10000
50-10-5-10-20	0.00280203469073	0.00288459873802	10000
100-10-5-10-20	0.000689193625	0.000963980936835	5695
20-10-5-10-50	0.000681831620921	0.000859718041245	1970
50-10-5-10-50	0.000716019318336	0.000972859162653	3196
100-10-5-10-50	0.000681580819246	0.000837759338157	2369
20-10-5-10-100	0.000714327791485	0.00082602799778	1411
50-10-5-10-100	0.00280235640362	0.00288466116262	10000
100-10-5-10-100	0.000691160919973	0.000866547163825	1778
20-10-5-100-200	0.000631156779462	0.000745223459874	782
50-10-5-100-200	0.000719889279424	0.000846959077645	762
100-10-5-100-200	0.000645901109341	0.000882051401869	1180
20-10-5-100-500	0.00064036242604	0.000748019871237	745
50-10-5-100-500	0.000725036256895	0.000840068843248	643
100-10-5-100-500	0.000693182009152	0.000847269375105	672
20-10-5-100-1000	0.000676385209731	0.000790676595048	576
50-10-5-100-1000	0.000568184649284	0.000798145410074	794
100-10-5-100-1000	0.000576594118084	0.000780464447006	779
20-10-6-50-100	0.000624467322849	0.000824337493802	1484
50-10-6-50-100	0.000641958136172	0.000940832376296	1561
100-10-6-50-100	0.000545515586128	0.000822201278331	2063
20-10-6-50-250	0.000608961273603	0.00078489838742	987
50-10-6-50-250	0.00051663711005	0.000736776351127	1280
100-10-6-50-250	0.000602271150192	0.000771794626814	1031
20-10-6-50-500	0.00051430673135	0.000717047499872	1086
50-10-6-50-500	0.000530613294896	0.000683988052485	997
100-10-6-50-500	0.000514261578661	0.000678165517964	1079
20-10-6-100-200	0.000615879386873	0.000729965867453	804
50-10-6-100-200	0.00067489463987	0.000833953770831	812
100-10-6-100-200	0.00052106117619	0.000760337596131	1104
20-10-6-100-500	0.000515576640997	0.000720561168503	924
50-10-6-100-500	0.000540655076339	0.000715071718793	852
100-10-6-100-500	0.000477686233251	0.00066703161019	959
20-10-6-100-1000	0.00049278686382	0.000689136697694	836
50-10-6-100-1000	0.00058066898497	0.000731588022101	670
100-10-6-100-1000	0.000566946218824	0.000760509729992	702
