	loss	val_loss	n_iter
10-6-50	0.00375426661899	0.00387517176677	12865
10-6-100	0.00366356420813	0.00377330735629	15830
100-10-5-100	0.0204072163238	0.0216354139322	15533
100-10-6-50	0.0209424934995	0.0221017559037	10150
100-10-6-100	0.0199327181034	0.0239528396102	6274
50-10-6-100	0.0104058794786	0.0115148548925	8553
20-10-6-50	0.00558785147723	0.00573368313354	13106
20-10-5-100-200	0.00654886984453	0.00705008427937	19439
20-10-5-100-500	0.00669218658878	0.00710501238097	14013
100-10-6-100-500	0.0210206008149	0.021786618354	8768
100-10-6-50-500	0.0219642291422	0.0252906396119	1152
50-10-6-50-500	0.0120302774508	0.0127537516054	18934
20-10-6-100-1000	0.00642742444677	0.0065821919417	17270
50-10-6-100-500	0.0122434551551	0.012376704851	19057
20-10-6-50-500	0.00658276414747	0.00676819438461	9802
20-10-6-100-500	0.00619403047351	0.0072292132628	4440
20-10-6-100-200	0.00624559290757	0.00717375461272	5721
50-10-6-100-1000	0.011735218226	0.0133830913581	17011
50-10-6-50-250	0.0124425899588	0.0122782690321	4094
10-5-100-1000	0.00458289196521	0.00519438544505	5217
10-5-100-500	0.00490421420134	0.00508173086659	5949
10-6-100-500	0.00441657583318	0.00445958075742	11505
10-6-100-1000	0.00465468099853	0.00550569706531	10378
10-6-50-250	0.00466025536262	0.00458652046401	7521
10-6-100-200	0.00477455236958	0.00451724755599	17374
